,price,rating,comment_count,per_user,free_version,free_trial,total_price
0,7.5,4.6,14,0,1,1,900.0
1,125.0,0.0,0,1,0,0,15000.0
2,10.0,4.3,193,1,0,1,1200.0
3,19.0,0.0,0,1,0,1,2280.0
4,270.0,5.0,2,0,0,0,32400.0
5,399.0,5.0,1,0,0,0,47880.0
6,108.98910000000001,5.0,1,1,0,1,1089.891
7,97.0,0.0,0,0,0,0,11640.0
8,27.250000000000004,4.5,153,0,1,1,3270.0000000000005
9,50.0,0.0,0,1,0,0,6000.0
10,500.0,0.0,0,0,0,0,60000.0
11,150.0,4.0,1,0,0,1,150.0
12,16.99,4.6,13,0,0,1,2038.7999999999997
13,9.0,0.0,0,1,1,0,1080.0
14,5.0,4.8,5,1,0,0,600.0
15,200.0,4.5,4,1,0,1,200.0
16,149.95,0.0,0,0,0,1,149.95
17,40.0,4.4,21,1,0,1,4800.0
18,300.0,4.4,7,1,0,0,36000.0
19,11.24,2.7,3,0,1,1,1348.8
20,99.95,0.0,0,0,0,0,99.95
21,25.0,4.3,154,1,0,0,3000.0
22,150.0,0.0,0,1,0,1,18000.0
23,90.0,4.9,21,1,0,1,10800.0
24,5.0,4.6,49,1,0,1,600.0
25,42.0,4.7,20,1,1,1,420.0
26,150.0,0.0,0,0,0,1,150.0
27,79.0,4.8,20,0,1,1,790.0
28,900.0,0.0,0,0,0,0,900.0
29,7.0,0.0,0,0,0,1,840.0
30,49.0,5.0,2,0,0,1,49.0
31,42.510000000000005,4.0,6,0,0,1,425.1
32,1.0,0.0,0,0,1,0,120.0
33,59.0,0.0,0,0,0,1,7080.0
34,11.99,5.0,3,1,0,1,1438.8
35,27.250000000000004,4.0,2,0,1,1,3270.0000000000005
36,5.0,4.0,2,0,1,1,600.0
37,9.0,4.5,36,0,1,1,1080.0
38,60.0,5.0,1,1,0,1,7200.0
39,64.31,0.0,0,1,0,1,7717.200000000001
40,10.0,0.0,0,1,0,1,1200.0
41,70.0,5.0,1,0,0,0,8400.0
42,50.0,5.0,4,1,1,1,6000.0
43,7.0,0.0,0,1,1,1,840.0
44,15.0,5.0,5,0,1,1,1800.0
45,1.7,4.7,515,1,0,1,204.0
46,25.0,0.0,0,0,1,1,3000.0
47,35.0,4.0,1,0,0,1,4200.0
48,30.0,4.5,2,0,1,1,3600.0
49,150.0,0.0,0,1,1,1,1500.0
50,26.160000000000004,0.0,0,1,1,1,3139.2000000000003
51,42.0,4.3,167,1,0,1,5040.0
52,47.0,0.0,0,0,0,1,5640.0
53,75.0,4.8,4,0,1,1,9000.0
54,9.0,0.0,0,0,0,1,1080.0
55,2000.0,3.0,1,1,1,1,20000.0
56,89.0,5.0,1,1,0,1,10680.0
57,199.0,4.6,5,1,0,0,199.0
58,39.0,4.4,176,0,0,1,4680.0
59,29.0,0.0,0,0,1,1,290.0
60,80.0,0.0,0,0,0,0,9600.0
61,1200.0,0.0,0,1,0,0,144000.0
62,599.0,4.8,40,0,1,0,71880.0
63,24.0,4.5,2,0,0,1,2880.0
64,3.2700000000000005,0.0,0,1,0,0,392.40000000000003
65,6.0,4.6,5,1,1,1,720.0
66,499.0,0.0,0,1,0,0,499.0
67,49.0,5.0,2,0,1,1,5880.0
68,23.0,5.0,2,0,0,1,230.0
69,10.0,0.0,0,1,0,1,1200.0
70,25.0,0.0,0,1,0,0,3000.0
71,26.4,5.0,2,0,0,1,264.0
72,6.5,5.0,1,0,1,1,780.0
73,99.0,4.6,33,0,0,1,11880.0
74,70.0,4.4,19,1,0,1,8400.0
75,18.0,4.2,25,1,0,1,2160.0
76,19.0,0.0,0,0,0,1,2280.0
77,12.5,4.6,11,1,0,1,1500.0
78,2.0,0.0,0,1,0,0,240.0
79,49.050000000000004,0.0,0,1,0,0,5886.000000000001
80,479.0,0.0,0,0,1,1,57480.0
81,1.0,0.0,0,1,1,1,120.0
82,29.0,0.0,0,1,0,1,3480.0
83,15.0,4.6,20,1,0,1,1800.0
84,20.71,5.0,10,1,1,1,2485.2000000000003
85,5000.0,0.0,0,0,0,1,5000.0
86,8.0,0.0,0,0,0,1,960.0
87,20.71,0.0,0,1,0,0,2485.2000000000003
88,4.0,0.0,0,1,1,1,480.0
89,49.0,3.8,399,1,0,0,5880.0
90,55.0,0.0,0,0,0,0,6600.0
